Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",347,1,0,0,1,0,1,1,6,4,18,42,40,54,61,55,35,22,6
"DK, Central Jutland*",745,7,0,0,1,0,1,7,6,18,35,60,87,102,133,139,94,44,11
"DK, Southern Denmark*",716,5,0,1,1,1,3,6,10,13,33,52,76,118,119,137,72,44,25
"DK, Greater Copenhagen*",855,3,0,0,0,0,2,6,10,21,42,62,103,133,155,176,71,46,25
"DK, Zealand*",461,0,0,0,0,0,1,2,5,13,18,47,52,62,88,91,53,23,6
Faroe Islands,27,0,0,0,0,0,0,0,0,1,0,4,4,4,3,4,3,3,1
"FI, Southern Finland*",1088,3,2,1,1,5,5,6,17,22,47,88,109,137,196,168,148,83,50
"FI, Western Finland and Åland*",524,2,1,1,0,3,1,0,6,7,17,27,48,64,70,85,87,50,55
"FI, Inland Finland*",448,3,0,0,0,0,1,2,3,16,20,30,37,67,74,81,52,32,30
"FI, Eastern Finland*",406,2,0,0,0,0,0,2,6,3,12,27,36,65,76,68,45,36,28
"FI, Northern Finland*",378,4,1,0,0,0,2,5,2,9,17,25,35,51,79,51,42,25,30
Greenland,18,0,0,0,0,0,0,0,0,0,2,0,3,4,2,5,2,0,0
"IS, Reykjavik-Reykjanes*",112,1,0,0,0,0,0,0,0,2,5,9,13,20,29,13,8,7,5
"IS, Rural*",56,0,0,0,0,0,0,1,1,0,3,6,9,4,12,8,3,9,0
"NO, Southeastern*",1612,11,2,0,1,1,8,14,26,55,89,141,188,234,249,253,169,103,68
"NO, Western*",537,0,1,0,0,0,3,5,15,16,29,47,58,59,102,87,56,34,25
"NO, Central*",455,0,0,0,0,0,2,2,8,16,19,48,51,77,73,64,48,30,17
"NO, Northern*",301,1,0,0,0,0,0,2,1,8,11,27,24,43,51,50,42,19,22
"SE, Stockholm-Gotland*",820,4,2,2,1,1,2,7,17,29,49,63,77,101,141,148,104,51,21
"SE, Uppsala-Örebro*",911,4,3,0,1,3,3,6,5,12,32,60,98,95,177,197,121,63,31
"SE, Southeastern*",491,2,1,0,0,2,3,3,1,18,19,36,47,59,88,95,61,39,17
"SE, Southern*",754,7,1,0,0,2,3,8,12,18,35,45,76,98,158,136,80,56,19
"SE, Western*",743,4,0,1,0,5,2,2,10,21,28,49,64,108,151,120,92,61,25
"SE, Northern*",364,3,1,0,0,0,1,1,2,9,16,26,31,46,73,70,51,27,7
