Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",1404,0,0,0,0,0,0,0,3,8,19,55,76,161,263,304,259,165,91
"DK, Central Jutland*",2620,0,0,0,1,1,2,5,3,19,35,80,174,326,518,564,425,323,144
"DK, Southern Denmark*",2805,0,0,0,0,1,1,2,4,5,32,83,211,331,520,606,468,347,194
"DK, Greater Copenhagen*",2903,0,0,0,0,2,0,2,3,13,48,130,228,356,572,619,497,288,145
"DK, Zealand*",2147,0,0,0,0,1,1,1,4,6,30,72,148,278,405,490,346,231,134
Faroe Islands,68,0,0,0,0,0,0,0,0,0,0,9,7,2,15,12,10,9,4
"FI, Southern Finland*",3092,1,0,0,1,1,1,2,7,15,38,76,232,386,659,630,475,312,256
"FI, Western Finland and Åland*",1702,0,0,0,0,0,1,2,1,4,22,46,101,207,357,334,294,192,141
"FI, Inland Finland*",1402,1,0,0,0,0,1,0,4,6,7,35,80,202,302,267,227,138,132
"FI, Eastern Finland*",1450,0,0,0,0,1,1,1,3,5,14,36,85,154,319,294,249,162,126
"FI, Northern Finland*",1348,0,0,1,0,1,1,0,1,5,16,31,104,153,247,242,226,171,149
Greenland,123,0,0,0,0,0,0,0,0,3,3,10,16,17,24,27,20,2,1
"IS, Reykjavik-Reykjanes*",295,0,0,0,1,0,0,0,1,3,3,15,33,31,40,56,50,38,24
"IS, Rural*",134,0,0,0,0,0,0,1,0,0,0,6,10,16,22,28,22,16,13
"NO, Southeastern*",4396,1,0,0,1,0,1,2,7,23,52,135,284,525,898,897,660,512,398
"NO, Western*",1802,1,0,0,0,0,1,1,2,10,31,70,118,213,321,359,277,230,168
"NO, Central*",1157,1,0,0,1,0,0,1,2,5,10,27,65,123,209,256,194,158,105
"NO, Northern*",899,1,0,0,0,0,0,0,1,8,10,26,47,103,189,174,148,113,79
"SE, Stockholm-Gotland*",2032,0,0,0,2,0,1,3,9,13,26,60,126,244,348,504,361,234,101
"SE, Uppsala-Örebro*",2167,0,0,0,0,1,1,4,5,11,25,53,84,240,415,515,429,262,122
"SE, Southeastern*",1105,0,0,0,0,0,1,1,2,7,9,18,59,103,203,268,217,152,65
"SE, Southern*",2154,0,0,0,0,0,1,3,9,10,19,48,118,212,426,512,414,266,116
"SE, Western*",1769,0,0,0,0,2,1,1,3,7,23,42,78,194,351,392,305,256,114
"SE, Northern*",836,0,0,0,1,0,1,1,0,2,4,18,34,92,157,202,157,105,62
