Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",149,1,0,0,0,0,1,0,0,1,4,1,13,25,30,29,26,11,7
"DK, Central Jutland*",325,1,0,0,0,0,0,0,2,0,3,9,39,49,66,64,47,29,16
"DK, Southern Denmark*",368,0,0,2,0,0,0,1,0,4,10,13,39,48,68,70,51,40,22
"DK, Greater Copenhagen*",490,0,0,0,1,1,1,1,2,3,6,31,36,92,93,104,75,27,17
"DK, Zealand*",268,0,0,0,0,1,1,1,1,1,2,6,22,28,64,61,36,25,19
Faroe Islands,11,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,1,4
"FI, Southern Finland*",673,1,0,0,1,0,1,2,4,6,10,27,48,96,131,125,109,55,57
"FI, Western Finland and Åland*",297,0,0,0,0,1,0,0,2,1,1,6,19,34,54,48,58,35,38
"FI, Inland Finland*",258,0,0,0,0,0,2,0,1,1,1,4,19,40,54,47,34,32,23
"FI, Eastern Finland*",301,0,0,0,0,0,0,0,1,0,1,3,22,46,62,56,49,40,21
"FI, Northern Finland*",268,0,1,1,0,0,0,0,0,1,2,9,12,31,54,57,44,39,17
Greenland,13,1,0,0,0,0,0,0,0,0,0,1,3,2,1,2,3,0,0
"IS, Reykjavik-Reykjanes*",59,0,0,0,0,0,0,0,0,0,0,3,10,3,11,14,8,8,2
"IS, Rural*",14,1,0,0,0,0,0,0,0,0,1,1,2,0,1,3,4,0,1
"NO, Southeastern*",514,1,0,1,1,1,2,1,7,6,13,28,72,78,77,72,63,58,33
"NO, Western*",165,0,0,0,0,0,0,2,1,1,6,13,16,16,25,27,20,23,15
"NO, Central*",125,1,1,0,0,0,0,0,1,1,4,9,11,18,21,18,13,13,14
"NO, Northern*",95,0,0,0,0,0,0,2,0,1,1,6,14,19,9,10,12,12,9
"SE, Stockholm-Gotland*",664,2,0,0,0,0,4,3,4,5,10,50,63,101,126,127,91,50,28
"SE, Uppsala-Örebro*",591,0,0,0,1,3,0,2,2,9,11,30,71,82,96,110,87,66,21
"SE, Southeastern*",299,0,0,1,0,0,0,0,2,2,6,17,36,42,50,56,47,23,17
"SE, Southern*",352,1,0,0,0,0,1,2,6,5,8,22,38,49,70,49,48,38,15
"SE, Western*",503,3,0,1,1,2,2,3,1,2,16,18,51,89,79,106,59,45,25
"SE, Northern*",211,3,0,0,1,0,0,1,5,3,5,9,15,32,36,40,33,16,12
