Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",289402,13958,15769,16317,17779,18886,15669,14468,16473,18076,20004,20717,19637,18659,18887,15949,11373,8086,8695
"DK, Central Jutland*",644433,34061,37785,38555,40576,45212,39026,35287,39130,43141,44571,43986,40308,38785,38329,31215,22201,15389,16876
"DK, Southern Denmark*",605529,29607,34217,35881,38571,35300,30819,30117,35167,40015,43215,43562,40323,38291,38884,32890,23824,16829,18017
"DK, Greater Copenhagen*",904416,49886,49817,47330,48087,65339,71083,61952,61970,63071,62739,59314,50443,47379,49718,42633,29328,20576,23751
"DK, Zealand*",414604,18491,23146,24768,26123,19915,17082,18617,23847,29204,31815,31245,28420,27815,29903,25034,16615,11100,11464
Faroe Islands,23659,1564,1699,1762,1687,1355,1137,1244,1435,1487,1606,1591,1486,1372,1207,999,724,599,705
"FI, Southern Finland*",1089490,56329,57707,55117,57018,65492,72081,74301,72031,66802,73003,74258,70667,71179,71715,51420,39436,29679,31255
"FI, Western Finland and Åland*",457719,22803,23503,22914,24246,27306,26054,26584,26455,25182,28524,29784,30070,32333,33032,24068,20060,16057,18744
"FI, Inland Finland*",445735,23216,24332,23325,23887,25477,25924,26908,26218,24721,27326,28882,29372,30781,31334,22573,18887,15263,17309
"FI, Eastern Finland*",422575,20180,20893,21078,22681,25394,22718,22434,21725,21154,24756,29025,31088,32010,31309,22834,19943,16170,17183
"FI, Northern Finland*",365411,21768,22707,21398,21546,21513,20515,21165,20381,18755,21141,24146,25562,25678,23775,16975,14870,11675,11841
Greenland,26422,1891,1899,1968,1965,2169,2181,1938,1534,1459,2201,2277,1705,1182,740,613,371,219,110
"IS, Reykjavik-Reykjanes*",112323,7634,7759,7059,7140,8068,8161,7940,7727,7349,7184,7337,6932,5946,4893,3668,2675,2284,2567
"IS, Rural*",50145,3236,3367,3461,3680,3567,3033,3047,3030,3142,3246,3518,3268,2835,2317,1822,1377,1124,1075
"NO, Southeastern*",1451747,82491,85392,82960,85300,90237,99299,97379,97037,103976,103628,94874,87980,81111,78713,60855,43651,34161,42703
"NO, Western*",536201,34211,34648,33551,34827,36426,37735,36634,35190,36294,36266,32874,30777,28189,25853,20000,14935,12126,15665
"NO, Central*",350848,20077,21034,20973,22290,23966,22810,21398,20925,23143,24150,22111,21510,20639,19325,15200,10810,8936,11551
"NO, Northern*",236807,12726,13457,13798,15320,15632,14802,13423,13433,15933,16989,15969,15072,14471,13683,10620,7876,6170,7433
"SE, Stockholm-Gotland*",1142229,72494,69976,62221,57948,70506,86284,84519,81281,82536,79863,73643,63032,57745,59721,50254,33612,24816,31778
"SE, Uppsala-Örebro*",1011979,55425,55773,53206,54327,66370,62358,54987,55776,62453,66587,64595,61543,62723,67987,57497,40978,31691,37703
"SE, Southeastern*",511384,28863,28695,27233,27926,34624,31366,27933,28625,31487,33580,32127,30429,30725,32696,27933,20824,16433,19885
"SE, Southern*",889429,52421,51359,46675,46163,58725,59200,54576,54783,56674,58642,55509,51021,51396,53652,46111,34009,26264,32249
"SE, Western*",911734,53044,52388,48380,48410,60062,61810,56351,55683,58921,61564,58514,53904,52674,54098,45431,33175,26176,31149
"SE, Northern*",437522,22776,23426,22738,22789,28471,26149,23151,23811,26361,28457,27903,27968,28210,29444,25054,19474,15226,16114
