Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",577,0,0,0,0,0,0,2,3,0,15,33,46,78,112,126,76,55,31
"DK, Central Jutland*",1168,0,0,0,0,1,3,1,6,9,42,51,114,172,211,219,163,104,72
"DK, Southern Denmark*",1174,0,0,0,0,0,1,1,4,11,30,55,93,150,215,257,172,109,76
"DK, Greater Copenhagen*",1319,0,0,0,0,0,4,4,8,18,33,63,116,179,254,258,186,128,68
"DK, Zealand*",892,0,0,0,0,0,1,0,5,7,22,36,66,116,181,193,136,74,55
Faroe Islands,31,0,0,0,0,0,0,0,0,0,2,2,1,3,6,9,4,2,2
"FI, Southern Finland*",1242,0,0,0,0,0,0,2,5,13,38,63,91,162,254,229,177,128,80
"FI, Western Finland and Åland*",710,0,0,0,0,0,4,2,9,6,17,41,46,98,140,96,123,78,50
"FI, Inland Finland*",601,0,0,0,0,0,1,2,1,5,8,26,48,72,119,100,96,74,49
"FI, Eastern Finland*",594,0,0,0,0,0,1,3,1,5,12,21,61,79,126,101,86,55,43
"FI, Northern Finland*",404,0,0,0,1,0,2,4,2,4,6,15,28,65,77,53,64,56,27
Greenland,51,0,0,0,0,0,0,0,1,1,4,9,6,8,7,9,5,1,0
"IS, Reykjavik-Reykjanes*",106,0,0,0,0,0,2,0,3,1,6,10,22,15,10,11,5,13,8
"IS, Rural*",40,0,0,0,0,0,0,0,0,3,1,1,8,4,4,4,7,4,4
"NO, Southeastern*",2159,0,0,0,0,1,6,12,26,41,70,127,199,302,377,338,303,208,149
"NO, Western*",880,0,0,0,0,0,3,12,7,15,31,43,86,116,153,142,119,89,64
"NO, Central*",588,0,0,0,0,0,2,3,6,9,17,31,55,81,100,92,80,68,44
"NO, Northern*",409,0,0,0,0,0,1,0,2,8,15,29,30,62,79,71,50,35,27
"SE, Stockholm-Gotland*",1061,0,0,0,2,0,2,2,8,23,34,55,82,155,196,175,157,97,73
"SE, Uppsala-Örebro*",1507,0,0,0,0,2,6,2,7,26,33,56,97,178,238,316,240,169,137
"SE, Southeastern*",735,0,0,0,0,2,1,2,4,11,15,34,56,79,138,128,112,80,73
"SE, Southern*",1237,0,0,0,0,0,0,3,11,15,31,65,73,160,197,257,204,126,95
"SE, Western*",1233,0,0,0,0,0,2,5,13,22,35,48,96,151,215,241,181,117,107
"SE, Northern*",613,0,0,0,0,1,0,1,3,13,17,22,41,64,116,133,110,47,45
