Population,Number,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
"DK, North Jutland*",46,0,0,0,0,0,0,1,2,5,5,4,6,3,10,2,3,3,2
"DK, Central Jutland*",148,0,0,0,1,5,3,9,8,10,16,15,12,16,17,20,4,7,5
"DK, Southern Denmark*",129,0,0,0,1,3,1,5,4,17,12,10,14,15,14,15,10,3,5
"DK, Greater Copenhagen*",136,0,0,0,1,0,1,6,9,18,16,16,13,9,18,10,10,7,2
"DK, Zealand*",93,0,0,0,2,3,4,0,5,7,13,10,7,9,14,8,6,2,3
Faroe Islands,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"FI, Southern Finland*",237,0,1,0,3,3,4,10,21,16,29,21,33,24,30,12,15,7,8
"FI, Western Finland and Åland*",90,0,0,0,3,3,1,4,3,7,3,6,11,15,9,6,5,8,6
"FI, Inland Finland*",129,0,0,0,1,2,4,9,5,7,13,10,21,10,17,14,11,1,4
"FI, Eastern Finland*",85,0,0,0,1,2,1,3,3,3,6,7,11,9,16,11,5,3,4
"FI, Northern Finland*",127,0,0,0,2,3,1,5,7,8,9,15,13,21,15,16,5,6,1
Greenland,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"IS, Reykjavik-Reykjanes*",33,0,0,0,0,0,0,4,1,2,4,1,2,5,5,5,2,1,1
"IS, Rural*",10,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,1,2,1
"NO, Southeastern*",306,0,0,1,2,2,9,16,21,22,30,28,32,32,42,25,20,16,8
"NO, Western*",127,0,0,0,0,5,6,4,12,7,12,13,10,8,14,15,10,5,6
"NO, Central*",90,0,0,0,2,2,5,2,6,4,7,14,10,11,9,7,4,4,3
"NO, Northern*",79,0,0,0,1,1,2,1,4,7,5,9,7,9,10,5,8,7,3
"SE, Stockholm-Gotland*",140,1,0,0,2,4,5,6,10,14,12,17,11,11,14,12,11,7,3
"SE, Uppsala-Örebro*",107,1,0,1,1,4,1,9,3,7,9,8,10,10,10,15,8,4,6
"SE, Southeastern*",76,0,0,0,1,1,1,9,3,10,4,8,2,14,8,6,7,1,1
"SE, Southern*",182,0,1,2,1,3,1,6,10,18,15,12,14,21,18,25,24,8,3
"SE, Western*",202,0,0,1,3,2,6,18,14,15,12,16,21,16,20,22,18,13,5
"SE, Northern*",98,0,0,0,3,2,1,7,7,5,3,6,10,14,9,10,13,4,4
